date,2023-09-17,,,,,,,,,,,,,,,,,,
home_score,53,,,,,,,,,,,,,,,,,,
away_score,34,,,,,,,,,,,,,,,,,,
location,"Veteran's Hall, Grass Valley CA",,,,,,,,,,,,,,,,,,
season_id,1,,,,,,,,,,,,,,,,,,
home_team,1,,,,,,,,,,,,,,,,,,
away_team,2,,,,,,,,,,,,,,,,,,
referee1,Carl,,,,,,,,,,,,,,,,,,
referee2,Nathan,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,PLAYER_NUMBER,FIRST_NAME,LAST_NAME,ID,Played,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
player_stat,7,Tule,Edwards,1,T,-1,2,-1,2,-1,3,1,4,1,2,0,2,2,13
player_stat,4,Ben,Maselli,6,T,-1,6,-1,0,-1,1,0,8,2,5,0,3,2,13
player_stat,18,Chris,Mahurin,9,T,-1,1,-1,1,-1,,0,3,0,1,0,1,1,5
player_stat,9,John,Hoyt,14,T,-1,1,-1,0,-1,0,0,2,0,0,0,1,1,2
player_stat,33,Nick,Barry,22,T,-1,2,-1,2,-1,2,1,8,0,0,0,2,1,12
player_stat,13,Christian,Rotunno,23,F,,,,,,,,,,,,,,0
player_stat,52,Arend,Hall,26,T,-1,3,-1,0,-1,0,2,6,1,0,4,2,2,6
player_stat,0,Tomas,Armijo,30,F,,,,,,,0,0,0,0,0,0,0,0
player_stat,1,Dylan,Ramirez,31,T,-1,1,-1,0,-1,0,0,2,1,0,0,0,1,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,PLAYER_NUMBER,FIRST_NAME,LAST_NAME,ID,,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
player_stat,2,Grayson,Callahan Shively,2,T,12,0,2,0,6,0,0,1,0,4,1,3,2,0
player_stat,23,Michael,Angelillo,5,T,0,0,0,0,0,0,0,4,0,0,0,1,2,0
player_stat,55,Louie,Costanzo,8,T,2,1,2,1,0,0,2,0,2,1,0,3,0,5
player_stat,31,Isaac,Van Etten,10,T,6,1,4,4,0,0,1,0,0,2,0,1,1,14
player_stat,8,Jeffrey,Tate,12,T,11,2,0,0,2,0,9,2,0,2,0,1,1,4
player_stat,5,Gabriel,Beeson-McArdle,13,T,4,0,0,0,0,0,3,0,0,0,0,0,0,0
player_stat,4,Gabriel,Ramirez,20,T,1,1,2,0,0,0,0,1,1,1,0,1,1,2
player_stat,3,Otis,O'Toole,21,T,3,0,0,0,2,2,1,4,0,0,1,4,2,2
player_stat,91,Tarzan,Couri,25,T,7,3,0,0,3,1,5,6,0,1,0,0,0,7
